cod_prod_lj;cod_loja;cod_produto;ref_varejista;dia;semana;mes;decr_mes;trimestre;ano;periodo;periodo2;valor;quantidade;indicador3
;71024;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;945.61;28;
;71024;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;79.95;7;
;71024;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;216.03;33;
;71025;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;63.98;2;
;71025;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;248.43;7;
;71025;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;33.73;3;
;71025;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;62.91;9;
;71026;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;94.47;3;
;71026;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;706.93;19;
;71026;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;223.13;33;
;71027;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;283.41;9;
;71027;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;1352.96;35;
;71027;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;112.41;9;
;71027;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;67.81;10;
;71029;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;259.14;10;
;71029;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;96.18;8;
;71029;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;76.89;11;
;7102;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;72.35;5;
;7102;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;163.8;20;
;7102;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;65.89;11;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;115.76;8;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;286.65;35;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;137.77;23;
;7105;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;59.08;4;
;7105;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;217.62;26;
;7105;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;75.48;12;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;101.29;7;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;98.28;12;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;103.63;17;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;14.77;1;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;167.4;20;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;56.61;9;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;217.05;15;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;597.87;73;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;287.52;48;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;245.99;17;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;237.51;29;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;239.77;40;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;265.86;18;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;326.43;39;
